ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,grid_code
149,WRENTHAM ST,DORCHESTER,2124,1603140000,51,42.288808210282596,-71.05626965458984,140
151,WRENTHAM ST,DORCHESTER,2124,1603141000,51,42.288878582791895,-71.05614565806181,140
155,WRENTHAM ST,DORCHESTER,2124,1603142000,51,42.28893888351065,-71.05601286070787,140
609,ADAMS ST,DORCHESTER,2122,1603143000,51,42.2889632747051,-71.05583734876274,140
611,ADAMS ST,DORCHESTER,2124,1603144000,51,42.288804453428455,-71.05583106152433,140
7,BRUCE ST,DORCHESTER,2124,1603157000,51,42.287672966902804,-71.05923191736275,139
79,WRENTHAM ST,DORCHESTER,2124,1603163001,51,42.288103863774495,-71.05931670150031,139
122,ELMER RD,DORCHESTER,2124,1603185000,51,42.28721354954105,-71.05630607206083,140
118,ELMER RD,DORCHESTER,2124,1603187000,51,42.28717150755815,-71.05645560673467,140
9,HELENA RD,DORCHESTER,2122,1603199000,51,42.286843245404896,-71.05542491817482,140
107,WRENTHAM ST,DORCHESTER,2124,1603129000,51,42.28834431630735,-71.05810642280014,139
15,HELENA RD,DORCHESTER,2122,1603201000,51,42.2867687389688,-71.05570464599765,140
21,HELENA RD,DORCHESTER,2122,1603204000,51,42.28666078371115,-71.05611608866536,140
25,HELENA RD,DORCHESTER,2122,1603206000,51,42.2865903779453,-71.05638208095489,140
131,ELMER RD,DORCHESTER,2124,1603214000,51,42.28697951469215,-71.05580374147206,140
683,ADAMS ST,DORCHESTER,2122,1603223000,51,42.286349748693695,-71.05486807392548,141
5,SOUTHER RD,DORCHESTER,2124,1603225000,51,42.2863183891927,-71.05520209946812,140
112,BEAUMONT ST,DORCHESTER,2124,1603237000,51,42.28576835193455,-71.05580464407797,158
108  106,BEAUMONT ST,DORCHESTER,2124,1603238000,51,42.2857233915973,-71.05596855395633,158
20,HELENA RD,DORCHESTER,2124,1603245000,51,42.286349606244,-71.05595938649466,140
14,HELENA RD,DORCHESTER,2124,1603248000,51,42.2864581207302,-71.05554991662103,140
12,HELENA RD,DORCHESTER,2124,1603249000,51,42.2864963071565,-71.05540636481258,140
10,HELENA RD,DORCHESTER,2124,1603250000,51,42.286533073269794,-71.0552676947188,140
109  111,WRENTHAM ST,DORCHESTER,2124,1603130000,51,42.288428563645354,-71.05798655293509,139
380,ASHMONT ST,DORCHESTER,2124,1603119000,51,42.2877867949434,-71.05739321986547,139
30,GRAYSON ST,DORCHESTER,2124,1604567000,51,42.2821690179524,-71.05003374041151,161
29,WRENTHAM ST,DORCHESTER,2124,1603010000,51,42.287659993516954,-71.06238018378602,137
24,MALLET ST,DORCHESTER,2124,1602875000,51,42.29034269198915,-71.05759567650415,139
567,ADAMS ST,DORCHESTER,2124,1602881000,51,42.29024171207995,-71.0566008930414,140
100  98,MSGR P J LYDON WY,DORCHESTER,2124,1602903000,51,42.2896346486691,-71.05810656298212,139
96  94,MSGR P J LYDON WY,DORCHESTER,2124,1602904000,51,42.2896097671055,-71.05820159232837,139
89,MSGR P J LYDON WY,DORCHESTER,2124,1602931000,51,42.28911463279695,-71.05843854960787,139
105,MSGR P J LYDON WY,DORCHESTER,2124,1602934000,51,42.289305476783355,-71.05773898873508,139
125,MSGR P J LYDON WY,DORCHESTER,2124,1602939000,51,42.28952709012415,-71.05687097417095,140
56,WRENTHAM ST,DORCHESTER,2124,1602957000,51,42.288369812264705,-71.06081856849374,138
52,WRENTHAM ST,DORCHESTER,2124,1602958000,51,42.28832795806275,-71.06098309833345,138
46,WRENTHAM ST,DORCHESTER,2124,1602960000,51,42.28824562266355,-71.06130616686312,138
30,WRENTHAM ST,DORCHESTER,2124,1602967000,51,42.28795447737275,-71.06245734427245,137
27,WRENTHAM ST,DORCHESTER,2124,1603009000,51,42.287621526617855,-71.06253449839096,137
