name,WKT,x,y,counts
70,"POLYGON ((-71.0483415 42.3135488,-71.0438893 42.3135488,-71.0438893 42.3089653,-71.0483415 42.3089653,-71.0483415 42.3135488))",15.0,6.0,27.0
77,"POLYGON ((-71.0884113 42.3089653,-71.0750547 42.3089653,-71.0750547 42.3043818,-71.0884113 42.3043818,-71.0884113 42.3089653))",6.0,7.0,62.0
78,"POLYGON ((-71.0750547 42.3089653,-71.0706025 42.3089653,-71.0706025 42.3043818,-71.0750547 42.3043818,-71.0750547 42.3089653))",9.0,7.0,45.0
79,"POLYGON ((-71.0706025 42.3089653,-71.0683764 42.3089653,-71.0683764 42.3043818,-71.0706025 42.3043818,-71.0706025 42.3089653))",10.0,7.0,53.0
80,"POLYGON ((-71.0683764 42.3089653,-71.0661503 42.3089653,-71.0661503 42.3043818,-71.0683764 42.3043818,-71.0683764 42.3089653))",10.0,7.0,39.0
81,"POLYGON ((-71.0661503 42.3089653,-71.0616981 42.3089653,-71.0616981 42.3043818,-71.0661503 42.3043818,-71.0661503 42.3089653))",11.0,7.0,47.0
82,"POLYGON ((-71.0616981 42.3089653,-71.0438893 42.3089653,-71.0438893 42.3043818,-71.0616981 42.3043818,-71.0616981 42.3089653))",12.0,7.0,54.0
89,"POLYGON ((-71.0884113 42.3043818,-71.0795069 42.3043818,-71.0795069 42.2997983,-71.0884113 42.2997983,-71.0884113 42.3043818))",6.0,8.0,43.0
90,"POLYGON ((-71.0795069 42.3043818,-71.0750547 42.3043818,-71.0750547 42.2997983,-71.0795069 42.2997983,-71.0795069 42.3043818))",8.0,8.0,38.0
91,"POLYGON ((-71.0750547 42.3043818,-71.0706025 42.3043818,-71.0706025 42.2997983,-71.0750547 42.2997983,-71.0750547 42.3043818))",9.0,8.0,55.0
92,"POLYGON ((-71.0706025 42.3043818,-71.0683764 42.3043818,-71.0683764 42.2997983,-71.0706025 42.2997983,-71.0706025 42.3043818))",10.0,8.0,64.0
